x,y
. second new immigration laws,should
second new immigration laws should,serve
new immigration laws should serve,the
immigration laws should serve the,economic
laws should serve the economic,needs
should serve the economic needs,of
serve the economic needs of,our
the economic needs of our,country
economic needs of our country,.
needs of our country .,if
of our country . if,an
our country . if an,american
country . if an american,employer
. if an american employer,is
if an american employer is,offering
an american employer is offering,a
american employer is offering a,job
employer is offering a job,that
is offering a job that,american
offering a job that american,citizens
a job that american citizens,are
job that american citizens are,not
that american citizens are not,willing
american citizens are not willing,to
citizens are not willing to,take
are not willing to take,we
not willing to take we,ought
willing to take we ought,to
to take we ought to,welcome
take we ought to welcome,into
we ought to welcome into,our
ought to welcome into our,country
to welcome into our country,a
welcome into our country a,person
into our country a person,who
our country a person who,will
country a person who will,fill
a person who will fill,that
person who will fill that,job
who will fill that job,.
will fill that job .,third
fill that job . third,we
that job . third we,should
job . third we should,not
. third we should not,give
third we should not give,unfair
we should not give unfair,rewards
should not give unfair rewards,to
not give unfair rewards to,illegal
give unfair rewards to illegal,immigrants
unfair rewards to illegal immigrants,in
rewards to illegal immigrants in,the
to illegal immigrants in the,citizenship
illegal immigrants in the citizenship,process
immigrants in the citizenship process,or
in the citizenship process or,disadvantage
the citizenship process or disadvantage,those
citizenship process or disadvantage those,who
process or disadvantage those who,came
or disadvantage those who came,here
disadvantage those who came here,lawfully
those who came here lawfully,or
who came here lawfully or,hope
came here lawfully or hope,to
here lawfully or hope to,do
lawfully or hope to do,so
or hope to do so,.
hope to do so .,fourth
to do so . fourth,new
do so . fourth new,laws
so . fourth new laws,should
. fourth new laws should,provide
fourth new laws should provide,incentives
new laws should provide incentives,for
laws should provide incentives for,temporary
should provide incentives for temporary,foreign
provide incentives for temporary foreign,workers
incentives for temporary foreign workers,to
for temporary foreign workers to,return
temporary foreign workers to return,permanently
foreign workers to return permanently,to
workers to return permanently to,their
to return permanently to their,home
return permanently to their home,countries
permanently to their home countries,after
to their home countries after,their
their home countries after their,period
home countries after their period,of
countries after their period of,work
after their period of work,in
their period of work in,the
period of work in the,united
of work in the united,states
work in the united states,has
in the united states has,expired
the united states has expired,.
united states has expired .,today
states has expired . today,i
has expired . today i,ask
expired . today i ask,the
. today i ask the,congress
today i ask the congress,to
i ask the congress to,join
ask the congress to join,me
the congress to join me,in
congress to join me in,passing
to join me in passing,new
join me in passing new,immigration
me in passing new immigration,laws
in passing new immigration laws,that
passing new immigration laws that,reflect
new immigration laws that reflect,these
immigration laws that reflect these,principles
laws that reflect these principles,that
that reflect these principles that,meet
